Page Load Speed (ms),Time
601,2016-07-05 12:23:57
602,2016-07-05 12:23:57
444,2016-07-05 12:24:03
504,2016-07-05 12:24:05
1333,2016-07-05 12:24:09
526,2016-07-05 12:24:12
628,2016-07-05 12:25:13
606,2016-07-05 12:25:51
1129,2016-07-05 12:26:57
1646,2016-07-05 12:28:29
1098,2016-07-05 12:29:21
1705,2016-07-05 12:31:03
836,2016-07-05 12:31:07
576,2016-07-05 12:31:43
391,2016-07-05 12:32:04
414,2016-07-05 12:32:47
421,2016-07-05 12:32:58
350,2016-07-05 12:33:24
404,2016-07-05 12:33:30
603,2016-07-05 12:34:15
312,2016-07-05 12:34:26
550,2016-07-05 12:34:27
426,2016-07-05 12:34:29
268,2016-07-05 12:34:32
618,2016-07-05 12:34:49
365,2016-07-05 12:34:50
563,2016-07-05 12:35:08
633,2016-07-05 12:35:22
591,2016-07-05 12:35:25
355,2016-07-05 12:35:54
835,2016-07-05 12:35:56
836,2016-07-05 12:35:57
732,2016-07-05 12:36:23
2028,2016-07-05 12:36:30
1162,2016-07-05 12:36:33
996,2016-07-05 12:36:40
2368,2016-07-05 12:37:04
741,2016-07-05 12:37:04
1142,2016-07-05 12:37:24
1152,2016-07-05 12:37:24
892,2016-07-05 12:37:27
404,2016-07-05 12:37:32
616,2016-07-05 12:37:37
714,2016-07-05 12:37:40
1886,2016-07-05 12:37:42
530,2016-07-05 12:37:53
511,2016-07-05 12:38:58
609,2016-07-05 12:40:02
568,2016-07-05 12:40:28
317,2016-07-05 12:40:31
381,2016-07-05 12:42:25
380,2016-07-05 12:44:08
424,2016-07-05 12:44:08
286,2016-07-05 12:44:15
568,2016-07-05 12:44:17
317,2016-07-05 12:44:23
816,2016-07-05 12:48:03
944,2016-07-05 12:48:08
620,2016-07-05 12:48:13
2039,2016-07-05 12:48:58
568,2016-07-05 12:49:13
789,2016-07-05 12:49:19
229,2016-07-05 12:52:29
621,2016-07-05 12:52:53
562,2016-07-05 12:53:10
601,2016-07-05 12:53:52
600,2016-07-05 12:54:36
603,2016-07-05 12:54:52
424,2016-07-05 12:55:10
516,2016-07-05 12:55:17
406,2016-07-05 12:55:27
401,2016-07-05 12:56:01
1200,2016-07-05 12:56:12
579,2016-07-05 12:56:43
553,2016-07-05 12:57:04
608,2016-07-05 12:57:28
612,2016-07-05 12:57:45
3226,2016-07-05 12:58:07
2295,2016-07-05 12:58:23
1517,2016-07-05 12:58:33
397,2016-07-05 12:58:54
427,2016-07-05 12:59:10
604,2016-07-05 12:59:26
1206,2016-07-05 12:59:44
889,2016-07-05 13:00:04
1763,2016-07-05 13:00:27
761,2016-07-05 13:00:27
612,2016-07-05 13:00:46
607,2016-07-05 13:01:07
611,2016-07-05 13:01:26
614,2016-07-05 13:01:47
535,2016-07-05 13:02:06
605,2016-07-05 13:02:24
611,2016-07-05 13:02:42
576,2016-07-05 13:03:01
600,2016-07-05 13:03:02
606,2016-07-05 13:03:18
1006,2016-07-05 13:03:39
582,2016-07-05 13:03:51
416,2016-07-05 13:03:58
608,2016-07-05 13:04:19
583,2016-07-05 13:04:41
613,2016-07-05 13:04:58
354,2016-07-05 13:05:15
721,2016-07-05 13:05:18
609,2016-07-05 13:05:51
612,2016-07-05 13:06:09
328,2016-07-05 13:06:28
413,2016-07-05 13:06:29
584,2016-07-05 13:06:46
608,2016-07-05 13:06:47
577,2016-07-05 13:06:59
612,2016-07-05 13:07:07
612,2016-07-05 13:07:24
610,2016-07-05 13:07:41
617,2016-07-05 13:08:01
609,2016-07-05 13:08:23
769,2016-07-05 13:08:39
617,2016-07-05 13:08:58
605,2016-07-05 13:09:18
589,2016-07-05 13:09:54
514,2016-07-05 13:10:10
626,2016-07-05 13:10:18
609,2016-07-05 13:10:38
537,2016-07-05 13:10:50
606,2016-07-05 13:10:54
619,2016-07-05 13:11:10
394,2016-07-05 13:11:13
513,2016-07-05 13:11:21
463,2016-07-05 13:11:25
605,2016-07-05 13:11:25
605,2016-07-05 13:11:42
317,2016-07-05 13:11:44
415,2016-07-05 13:11:59
606,2016-07-05 13:12:17
563,2016-07-05 13:12:26
582,2016-07-05 13:12:52
325,2016-07-05 13:13:29
535,2016-07-05 13:14:17
574,2016-07-05 13:14:29
574,2016-07-05 13:14:29
324,2016-07-05 13:14:57
622,2016-07-05 13:15:03
576,2016-07-05 13:15:12
576,2016-07-05 13:15:58
842,2016-07-05 13:16:03
994,2016-07-05 13:16:14
481,2016-07-05 13:16:18
316,2016-07-05 13:18:24
536,2016-07-05 13:19:00
1404,2016-07-05 13:19:09
1958,2016-07-05 13:20:48
3141,2016-07-05 13:20:49
645,2016-07-05 13:23:27
607,2016-07-05 13:27:23
579,2016-07-05 13:27:36
577,2016-07-05 13:27:36
1196,2016-07-05 13:29:16
1268,2016-07-05 13:29:16
2565,2016-07-05 13:29:37
463,2016-07-05 13:30:16
517,2016-07-05 13:31:22
478,2016-07-05 13:31:22
498,2016-07-05 13:32:36
500,2016-07-05 13:32:36
584,2016-07-05 13:32:50
722,2016-07-05 13:34:01
